_TITLE1 TOTAL INTER INTRA RESTR VDW
ZINC00590563 -27.839 -21.488 -2.987 0.000 -28.469
ZINC00592441 -24.029 -19.707 -0.911 0.000 -28.449
ZINC00594984 -25.583 -22.860 0.575 0.000 -29.357
ZINC00624649 -32.788 -19.704 -9.691 0.000 -26.189
ZINC00625916 -23.684 -21.736 1.412 0.000 -30.581
ZINC00625974 -20.835 -17.273 -0.202 0.000 -29.788
ZINC00626077 -19.685 -13.963 -2.448 0.000 -27.081
ZINC00626080 -18.745 -17.604 2.124 0.000 -28.509
ZINC00626133 -23.642 -20.628 -1.095 0.000 -26.265
ZINC00626136 -15.936 -13.346 0.813 0.000 -24.861
ZINC00626142 -20.517 -17.535 0.302 0.000 -27.947
ZINC00626144 -20.085 -14.541 -2.169 0.000 -24.054
ZINC00626346 -27.076 -19.633 -4.101 0.000 -29.135
ZINC00627952 -30.134 -22.104 -4.652 0.000 -29.226
ZINC00628060 -19.919 -19.023 2.463 0.000 -28.948
ZINC00628259 -22.142 -15.621 -3.255 0.000 -27.536
ZINC00628689 -27.441 -18.659 -9.107 0.000 -30.969
ZINC00628695 -25.158 -23.298 1.378 0.000 -29.000
ZINC00628769 -28.195 -21.403 -4.800 0.000 -30.163
ZINC00628792 -26.424 -20.034 -3.050 0.000 -30.253
ZINC00629922 -21.628 -19.837 -0.126 0.000 -29.013
ZINC00629927 -23.133 -19.530 -0.289 0.000 -28.008
ZINC00630751 -27.009 -24.560 0.795 0.000 -30.182
ZINC00633094 -24.324 -18.989 -2.035 0.000 -30.588
ZINC00633097 -20.761 -20.678 -0.450 0.061 -26.820
ZINC00634871 -32.405 -18.520 -10.461 0.000 -29.038
ZINC00634874 -41.615 -17.253 -20.995 0.000 -27.512
ZINC00637263 -27.773 -26.031 1.505 0.000 -30.878
ZINC00637847 -22.380 -13.813 -5.171 0.000 -25.750
ZINC00637852 -22.775 -16.424 -2.996 0.000 -25.731
ZINC00645197 -25.566 -20.924 -1.381 0.000 -30.627
ZINC00645607 -28.770 -25.257 -0.256 0.000 -30.241
ZINC00645879 -31.654 -21.691 -6.659 0.000 -31.337
ZINC00648071 -24.626 -15.166 -6.173 0.000 -25.188
ZINC00648269 -26.039 -22.616 -0.135 0.000 -32.151
ZINC00648271 -28.631 -22.808 -2.631 0.000 -28.945
ZINC00648274 -27.173 -24.140 0.257 0.000 -32.866
ZINC00648583 -30.072 -20.747 -5.925 0.000 -30.236
ZINC00648764 -24.351 -20.032 -1.001 0.000 -31.686
ZINC00649330 -25.855 -18.909 -3.592 0.000 -26.766
ZINC00649353 -24.870 -23.232 -2.234 0.000 -32.341
ZINC00649879 -26.377 -23.677 0.683 0.000 -30.094
ZINC00649899 -27.854 -21.546 -3.118 0.000 -28.778
ZINC00650399 -26.805 -22.147 -1.350 0.000 -31.334
ZINC00650476 -29.386 -21.073 -4.997 0.000 -30.683
ZINC00650615 -26.287 -24.288 -2.316 0.000 -29.814
ZINC00650744 -28.471 -20.119 -5.142 0.000 -30.657
ZINC00650770 -26.059 -19.381 -3.421 0.009 -29.277
ZINC00650815 -25.458 -23.518 1.318 0.000 -29.006
ZINC00650893 -27.840 -17.449 -10.698 0.000 -25.536
ZINC00650916 -32.594 -26.070 -3.169 0.000 -28.975
ZINC00653467 -19.443 -14.602 -1.554 0.000 -20.729
ZINC00653468 -19.758 -17.305 0.680 0.021 -27.933
ZINC00653470 -30.008 -22.909 -3.810 0.000 -31.151
ZINC00654677 -30.913 -27.208 -0.515 0.000 -27.881
ZINC00654679 -25.121 -21.737 -0.051 0.000 -26.573
ZINC00654693 -22.256 -21.185 2.025 0.038 -26.686
ZINC00656564 -29.712 -25.099 -1.353 0.000 -32.207
ZINC00658274 -22.214 -21.623 2.753 0.000 -27.428
ZINC00661092 -26.833 -17.965 -5.608 0.000 -25.290
ZINC00661095 -24.565 -20.051 -1.202 0.000 -28.981
ZINC00665960 -23.134 -21.972 2.042 0.000 -28.358
ZINC00665970 -29.599 -25.735 -0.574 0.000 -28.781
ZINC00666021 -25.127 -24.685 2.765 0.000 -30.743
ZINC00667976 -25.968 -23.236 0.578 0.000 -28.862
ZINC00667978 -25.713 -20.857 -1.561 0.000 -27.420
ZINC00667980 -22.844 -16.549 -3.003 0.000 -26.353
ZINC00667981 -24.433 -23.832 2.210 0.000 -27.430
ZINC00670370 -25.258 -22.004 -0.107 0.000 -27.038
ZINC00670899 -25.407 -23.737 1.583 0.003 -27.692
